"","types","original_price","discount_price","original_level"
"1","app",19.99,14.99,"very high"
"2","app",29.99,NA,"very high"
"3","app",39.99,NA,"very high"
"4","app",44.99,NA,"very high"
"5","app",0,NA,"very low"
"6","bundle",NA,35.18,"very high"
"7","app",59.99,70.42,"very high"
"8","app",14.99,17.58,"very high"
"9","app",29.99,NA,"very high"
"10","app",49.99,NA,"very high"
"11","app",19.99,NA,"very high"
"12","app",39.99,59.97,"very high"
"13","app",0,NA,"very low"
"14","app",1.02,906.48,"very low"
"15","app",19.99,NA,"very high"
"16","bundle",NA,94.45,"very high"
"17","app",14.99,NA,"very high"
"18","app",59.99,NA,"very high"
"19","app",0,NA,"very low"
"20","app",19.99,122.31,"very high"
"21","app",1.02,906.48,"very low"
"22","app",29.99,38.25,"very high"
"23","app",39.99,NA,"very high"
"24","app",19.99,54.97,"very high"
"25","app",19.99,NA,"very high"
"26","bundle",NA,14.98,"very high"
"27","app",9.99,14.98,"high"
"28","app",12.99,39.71,"high"
"29","app",57.91,46.26,"very high"
"30","app",59.99,NA,"very high"
"31","app",0,NA,"very low"
"32","app",29.99,32.38,"very high"
"33","app",19.99,59.97,"very high"
"34","app",19.99,NA,"very high"
"35","app",19.99,46.77,"very high"
"36","app",9.99,225.35,"high"
"37","app",0,NA,"very low"
"38","app",7.99,39.95,"high"
"39","app",19.99,NA,"very high"
"40","sub",14.99,7.49,"low"
"41","app",29.99,NA,"very high"
"42","app",29.99,39.86,"very high"
"43","app",9.99,65.7,"high"
"44","app",19.99,9.99,"very high"
"45","bundle",NA,35.97,"very high"
"46","app",6.99,5.24,"high"
"47","app",19.99,225.35,"very high"
"48","app",29.99,14.99,"very high"
"49","app",19.99,69.98,"very high"
"50","app",24.99,28.98,"very high"
"51","app",19.99,25.63,"very high"
"52","app",39.99,NA,"very high"
"53","app",14.99,4.49,"very high"
"54","app",9.99,1.49,"high"
"55","app",0,NA,"very low"
"56","app",14.99,24.98,"very high"
"57","app",0,NA,"very low"
"58","bundle",NA,69.86,"very high"
"59","app",13.99,NA,"high"
"60","app",29.99,NA,"very high"
"61","app",59.98,40.48,"very high"
"62","app",19.99,27.17,"very high"
"63","app",0,NA,"very low"
"64","sub",69.99,59.99,"very high"
"65","app",29.99,NA,"very high"
"66","app",0,NA,"very low"
"67","bundle",NA,99.76,"very high"
"68","app",19.99,24.28,"very high"
"69","bundle",NA,64.75,"very high"
"70","app",24.99,NA,"very high"
"71","app",49.99,NA,"very high"
"72","app",29.99,NA,"very high"
"73","app",19.99,69.23,"very high"
"74","app",14.99,29.56,"very high"
"75","bundle",NA,59.98,"very high"
"76","app",1.02,906.48,"very low"
"77","app",24.99,NA,"very high"
"78","app",76.95,53.15,"very high"
"79","app",19.99,40.17,"very high"
"80","app",19.99,NA,"very high"
"81","app",19.99,19.93,"very high"
"82","bundle",NA,44.97,"very high"
"83","app",19.99,412.53,"very high"
"84","app",29.99,NA,"very high"
"85","app",84.97,43.94,"very high"
"86","app",0,NA,"very low"
"87","bundle",58.89,17.38,"high"
"88","app",59.99,NA,"very high"
"89","app",19.99,NA,"very high"
"90","app",0,NA,"very low"
"91","app",39.99,NA,"very high"
"92","app",19.99,NA,"very high"
"93","app",39.99,NA,"very high"
"94","app",8.99,NA,"high"
"95","app",39.99,13.59,"very high"
"96","app",0,NA,"very low"
"97","app",14.99,7.49,"very high"
"98","app",19.99,169.92,"very high"
"99","app",59.99,NA,"very high"
"100","app",7.99,145.14,"high"
"101","app",49.99,NA,"very high"
"102","app",29.99,52.66,"very high"
"103","bundle",NA,71.97,"very high"
"104","app",24.99,NA,"very high"
"105","app",0,NA,"very low"
"106","bundle",75.95,25.42,"very high"
"107","bundle",NA,55.76,"very high"
"108","app",34.99,NA,"very high"
"109","app",151.89,95.79,"very high"
"110","app",0,NA,"very low"
"111","app",19.99,24.98,"very high"
"112","app",29.99,34.98,"very high"
"113","app",29.99,NA,"very high"
"114","app",39.99,NA,"very high"
"115","bundle",NA,39.88,"very high"
"116","app",29.99,NA,"very high"
"117","app",19.99,23.73,"very high"
"118","app",6.99,NA,"high"
"119","app",29.99,169.42,"very high"
"120","bundle",NA,19.98,"very high"
"121","app",4.99,4.94,"moderate"
"122","app",59.99,707.84,"very high"
"123","app",59.99,37.95,"very high"
"124","app",0,NA,"very low"
"125","app",59.99,NA,"very high"
"126","app",14.99,NA,"very high"
"127","app",19.99,NA,"very high"
"128","app",59.99,19.79,"very high"
"129","app",29.99,NA,"very high"
"130","app",84.93,66.73,"very high"
"131","app",19.99,NA,"very high"
"132","app",34.99,NA,"very high"
"133","app",44.99,NA,"very high"
"134","bundle",NA,24.48,"very high"
"135","app",29.99,NA,"very high"
"136","bundle",86.92,31.6,"very high"
"137","app",29.99,NA,"very high"
"138","app",19.99,47.97,"very high"
"139","app",9.99,NA,"high"
"140","app",20,NA,"very high"
"141","app",NA,NA,"very high"
"142","app",15.99,23.98,"very high"
"143","app",0,NA,"very low"
"144","app",24.99,28.98,"very high"
"145","app",19.99,37.98,"very high"
"146","bundle",NA,155.44,"very high"
"147","app",49.99,NA,"very high"
"148","app",34.99,NA,"very high"
"149","app",29.99,36.98,"very high"
"150","app",59.99,344.78,"very high"
"151","app",39.99,NA,"very high"
"152","app",29.99,NA,"very high"
"153","app",1.02,906.48,"very low"
"154","app",19.99,28.48,"very high"
"155","app",9.98,8.53,"high"
"156","app",19.99,169.92,"very high"
"157","app",59.99,80.98,"very high"
"158","app",4.99,9.98,"moderate"
"159","app",0,NA,"very low"
"160","app",29.99,33.23,"very high"
"161","app",0,89.06,"very low"
"162","app",5.99,6.63,"moderate"
"163","app",19.99,2.99,"very high"
"164","bundle",NA,90.23,"very high"
"165","app",14.99,NA,"very high"
"166","app",19.99,36.4,"very high"
"167","app",0,NA,"very low"
"168","app",29.99,NA,"very high"
"169","app",39.99,NA,"very high"
"170","bundle",NA,39.97,"very high"
"171","app",59.99,NA,"very high"
"172","app",29.99,NA,"very high"
"173","bundle",NA,20.16,"very high"
"174","app",151.89,82.73,"very high"
"175","app",49.99,19.99,"very high"
"176","app",59.99,NA,"very high"
"177","app",14.99,NA,"very high"
"178","app",0,NA,"very low"
"179","app",19.99,NA,"very high"
"180","app",NA,NA,"very high"
"181","app",39.99,NA,"very high"
"182","app",19.99,NA,"very high"
"183","app",0,NA,"very low"
"184","app",1.02,906.48,"very low"
"185","app",9.99,NA,"high"
"186","app",59.99,29.99,"very high"
"187","app",59.99,NA,"very high"
"188","app",29.99,NA,"very high"
"189","app",11.99,NA,"high"
"190","app",19.99,50.94,"very high"
"191","app",39.99,78.22,"very high"
"192","bundle",32.98,26.08,"high"
"193","bundle",NA,39.89,"very high"
"194","app",4.99,50.35,"moderate"
"195","app",29.99,NA,"very high"
"196","app",39.99,53.98,"very high"
"197","app",19.99,NA,"very high"
"198","app",9.99,4.99,"high"
